Notes,County,County Code,Year,Year Code,Births,Total Population,Birth Rate,Average Age of Mother,Average LMP Gestational Age
,"Baldwin County, AL",1003,2013,2013,2160,195540,11.05,27.31,38.45
,"Baldwin County, AL",1003,2014,2014,2244,200111,11.21,27.48,38.45
,"Baldwin County, AL",1003,2015,2015,2344,203709,11.51,27.53,38.39
,"Baldwin County, AL",1003,2016,2016,2247,208563,10.77,27.72,38.56
,"Baldwin County, AL",1003,2017,2017,2322,212628,10.92,27.96,38.51
Total,"Baldwin County, AL",1003,,,11317,1020551,11.09,27.6,38.47
,"Calhoun County, AL",1015,2013,2013,1347,116736,11.54,25.91,37.06
,"Calhoun County, AL",1015,2014,2014,1291,115916,11.14,26.13,38.23
,"Calhoun County, AL",1015,2015,2015,1400,115620,12.11,26.27,38.39
,"Calhoun County, AL",1015,2016,2016,1357,114611,11.84,26.46,38.45
,"Calhoun County, AL",1015,2017,2017,1338,114728,11.66,26.46,38.4
Total,"Calhoun County, AL",1015,,,6733,577611,11.66,26.25,38.11
,"Etowah County, AL",1055,2013,2013,1182,103931,11.37,25.85,38.75
,"Etowah County, AL",1055,2014,2014,1159,103531,11.19,25.96,37.94
,"Etowah County, AL",1055,2015,2015,1214,103057,11.78,25.8,38.7
,"Etowah County, AL",1055,2016,2016,1214,102564,11.84,26.33,38.64
,"Etowah County, AL",1055,2017,2017,1213,102755,11.8,26.29,38.48
Total,"Etowah County, AL",1055,,,5982,515838,11.6,26.05,38.51
,"Houston County, AL",1069,2014,2014,1303,104193,12.51,26.65,38.36
,"Houston County, AL",1069,2015,2015,1294,104173,12.42,26.91,38.35
,"Houston County, AL",1069,2016,2016,1333,104056,12.81,26.95,38.27
,"Houston County, AL",1069,2017,2017,1295,104346,12.41,26.82,38.36
Total,"Houston County, AL",1069,,,5225,416768,12.54,26.83,38.34
,"Jefferson County, AL",1073,2013,2013,8640,659479,13.1,27.48,38.16
,"Jefferson County, AL",1073,2014,2014,8925,660793,13.51,27.75,38.34
,"Jefferson County, AL",1073,2015,2015,8792,660367,13.31,27.95,38.32
,"Jefferson County, AL",1073,2016,2016,8655,659521,13.12,28.12,38.34
,"Jefferson County, AL",1073,2017,2017,8706,659197,13.21,28.32,38.25
Total,"Jefferson County, AL",1073,,,43718,3299357,13.25,27.92,38.29
,"Lee County, AL",1081,2013,2013,1858,150933,12.31,27.15,38.72
,"Lee County, AL",1081,2014,2014,1890,154255,12.25,27.63,38.7
,"Lee County, AL",1081,2015,2015,1988,156993,12.66,27.83,38.68
,"Lee County, AL",1081,2016,2016,1898,158991,11.94,27.94,38.65
,"Lee County, AL",1081,2017,2017,1898,161604,11.74,28.1,38.56
Total,"Lee County, AL",1081,,,9532,782776,12.18,27.73,38.66
,"Madison County, AL",1089,2013,2013,4106,346892,11.84,27.71,38.47
,"Madison County, AL",1089,2014,2014,4254,350299,12.14,27.98,38.28
,"Madison County, AL",1089,2015,2015,4159,353089,11.78,28.3,38.27
,"Madison County, AL",1089,2016,2016,4228,356967,11.84,28.32,38.23
,"Madison County, AL",1089,2017,2017,4253,361046,11.78,28.42,38.21
Total,"Madison County, AL",1089,,,21000,1768293,11.88,28.15,38.29
,"Mobile County, AL",1097,2013,2013,5578,414079,13.47,26.36,38.07
,"Mobile County, AL",1097,2014,2014,5682,415123,13.69,26.65,38.17
,"Mobile County, AL",1097,2015,2015,5663,415395,13.63,26.71,38.21
,"Mobile County, AL",1097,2016,2016,5504,414836,13.27,26.95,38.22
,"Mobile County, AL",1097,2017,2017,5607,413955,13.54,27.1,38.27
Total,"Mobile County, AL",1097,,,28034,2073388,13.52,26.75,38.19
,"Montgomery County, AL",1101,2013,2013,3166,226659,13.97,26.74,38.19
,"Montgomery County, AL",1101,2014,2014,3254,226189,14.39,27,38.11
,"Montgomery County, AL",1101,2015,2015,3129,226519,13.81,27.13,38.12
,"Montgomery County, AL",1101,2016,2016,3139,226349,13.87,27.22,38.09
,"Montgomery County, AL",1101,2017,2017,3172,226646,14,27.15,38.18
Total,"Montgomery County, AL",1101,,,15860,1132362,14.01,27.05,38.14
,"Morgan County, AL",1103,2013,2013,1413,119787,11.8,26.52,38.63
,"Morgan County, AL",1103,2014,2014,1365,119607,11.41,26.43,38.4
,"Morgan County, AL",1103,2015,2015,1386,119565,11.59,26.37,38.44
,"Morgan County, AL",1103,2016,2016,1470,119012,12.35,26.78,38.23
,"Morgan County, AL",1103,2017,2017,1435,118818,12.08,26.7,38.15
Total,"Morgan County, AL",1103,,,7069,596789,11.85,26.56,38.37
,"Shelby County, AL",1117,2013,2013,2328,204180,11.4,29,38.53
,"Shelby County, AL",1117,2014,2014,2410,206655,11.66,29.19,38.75
,"Shelby County, AL",1117,2015,2015,2399,208713,11.49,29.08,38.58
,"Shelby County, AL",1117,2016,2016,2387,210622,11.33,29.36,38.56
,"Shelby County, AL",1117,2017,2017,2283,213605,10.69,29.49,38.41
Total,"Shelby County, AL",1117,,,11807,1043775,11.31,29.22,38.57
,"Tuscaloosa County, AL",1125,2013,2013,2419,200821,12.05,26.95,38.38
,"Tuscaloosa County, AL",1125,2014,2014,2521,202212,12.47,27.01,38.33
,"Tuscaloosa County, AL",1125,2015,2015,2530,203976,12.4,27.06,38.23
,"Tuscaloosa County, AL",1125,2016,2016,2591,206102,12.57,27.03,38.2
,"Tuscaloosa County, AL",1125,2017,2017,2538,207811,12.21,27.43,38.31
Total,"Tuscaloosa County, AL",1125,,,12599,1020922,12.34,27.1,38.29
,"Unidentified Counties, AL",1999,2013,2013,23970,2094685,11.44,26.01,38.36
,"Unidentified Counties, AL",1999,2014,2014,23124,1990493,11.62,26.16,38.32
,"Unidentified Counties, AL",1999,2015,2015,23359,1987803,11.75,26.34,38.31
,"Unidentified Counties, AL",1999,2016,2016,23128,1981106,11.67,26.46,38.34
,"Unidentified Counties, AL",1999,2017,2017,22881,1977608,11.57,26.56,38.29
Total,"Unidentified Counties, AL",1999,,,116462,10031695,11.61,26.3,38.32
,"Anchorage Borough, AK",2020,2013,2013,4778,300950,15.88,28.09,38.78
,"Anchorage Borough, AK",2020,2014,2014,4691,301010,15.58,28.11,38.87
,"Anchorage Borough, AK",2020,2015,2015,4589,298695,15.36,28.35,38.82
,"Anchorage Borough, AK",2020,2016,2016,4518,298192,15.15,28.6,38.78
,"Anchorage Borough, AK",2020,2017,2017,4136,294356,14.05,28.92,38.73
Total,"Anchorage Borough, AK",2020,,,22712,1493203,15.21,28.4,38.8
,"Unidentified Counties, AK",2999,2013,2013,6668,434182,15.36,27.34,38.9
,"Unidentified Counties, AK",2999,2014,2014,6701,435722,15.38,27.44,38.87
,"Unidentified Counties, AK",2999,2015,2015,6693,439737,15.22,27.67,38.9
,"Unidentified Counties, AK",2999,2016,2016,6691,443702,15.08,27.81,38.84
,"Unidentified Counties, AK",2999,2017,2017,6309,445439,14.16,28.09,38.84
Total,"Unidentified Counties, AK",2999,,,33062,2198782,15.04,27.67,38.87
,"Cochise County, AZ",4003,2013,2013,1618,129473,12.5,26.67,38.7
,"Cochise County, AZ",4003,2014,2014,1648,127448,12.93,27.11,38.65
,"Cochise County, AZ",4003,2015,2015,1570,126427,12.42,26.96,38.68
,"Cochise County, AZ",4003,2016,2016,1529,125770,12.16,27.25,38.59
,"Cochise County, AZ",4003,2017,2017,1335,124756,10.7,27.28,38.64
Total,"Cochise County, AZ",4003,,,7700,633874,12.15,27.04,38.65
,"Coconino County, AZ",4005,2013,2013,1647,136539,12.06,27.22,38.58
,"Coconino County, AZ",4005,2014,2014,1705,137682,12.38,27.43,38.73
,"Coconino County, AZ",4005,2015,2015,1575,139097,11.32,27.69,38.7
,"Coconino County, AZ",4005,2016,2016,1612,140908,11.44,28.09,38.72
,"Coconino County, AZ",4005,2017,2017,1508,140776,10.71,28.14,38.53
Total,"Coconino County, AZ",4005,,,8047,695002,11.58,27.7,38.66
,"Maricopa County, AZ",4013,2013,2013,54015,4009412,13.47,27.92,38.61
,"Maricopa County, AZ",4013,2014,2014,55410,4087191,13.56,28.11,38.6
,"Maricopa County, AZ",4013,2015,2015,54736,4167947,13.13,28.26,38.63
,"Maricopa County, AZ",4013,2016,2016,54126,4242997,12.76,28.37,38.64
,"Maricopa County, AZ",4013,2017,2017,52633,4307033,12.22,28.53,38.55
Total,"Maricopa County, AZ",4013,,,270920,20814580,13.02,28.24,38.6
,"Mohave County, AZ",4015,2013,2013,1884,203030,9.28,26.15,38.82
,"Mohave County, AZ",4015,2014,2014,1869,203361,9.19,26.28,38.68
,"Mohave County, AZ",4015,2015,2015,1852,204737,9.05,26.45,38.65
,"Mohave County, AZ",4015,2016,2016,1802,205249,8.78,26.56,38.77
,"Mohave County, AZ",4015,2017,2017,1753,207200,8.46,26.97,38.61
Total,"Mohave County, AZ",4015,,,9160,1023577,8.95,26.47,38.71
,"Navajo County, AZ",4017,2014,2014,1617,108101,14.96,26.35,38.55
,"Navajo County, AZ",4017,2015,2015,1542,108277,14.24,26.36,38.54
,"Navajo County, AZ",4017,2016,2016,1497,110026,13.61,27.12,38.52
,"Navajo County, AZ",4017,2017,2017,1508,108956,13.84,26.94,38.47
Total,"Navajo County, AZ",4017,,,6164,435360,14.16,26.68,38.52
,"Pima County, AZ",4019,2013,2013,11994,996554,12.04,27.48,38.66
,"Pima County, AZ",4019,2014,2014,11864,1004516,11.81,27.74,38.57
,"Pima County, AZ",4019,2015,2015,11500,1010025,11.39,27.84,38.54
,"Pima County, AZ",4019,2016,2016,11421,1016206,11.24,28.03,38.58
,"Pima County, AZ",4019,2017,2017,10983,1022769,10.74,28.16,38.53
Total,"Pima County, AZ",4019,,,57762,5050070,11.44,27.84,38.58
,"Pinal County, AZ",4021,2013,2013,4575,389350,11.75,27.27,38.71
,"Pinal County, AZ",4021,2014,2014,4491,401918,11.17,27.38,38.62
,"Pinal County, AZ",4021,2015,2015,4451,406584,10.95,27.48,38.63
,"Pinal County, AZ",4021,2016,2016,4470,418540,10.68,27.54,38.7
,"Pinal County, AZ",4021,2017,2017,4392,430237,10.21,27.72,38.58
Total,"Pinal County, AZ",4021,,,22379,2046629,10.93,27.48,38.65
,"Yavapai County, AZ",4025,2013,2013,1826,215133,8.49,26.87,38.65
,"Yavapai County, AZ",4025,2014,2014,1948,218844,8.9,27.2,38.69
,"Yavapai County, AZ",4025,2015,2015,1876,222255,8.44,27.11,38.74
,"Yavapai County, AZ",4025,2016,2016,1868,225562,8.28,27.47,38.64
,"Yavapai County, AZ",4025,2017,2017,1798,228168,7.88,27.34,38.72
Total,"Yavapai County, AZ",4025,,,9316,1109962,8.39,27.2,38.69
,"Yuma County, AZ",4027,2013,2013,3141,201201,15.61,26.07,38.81
,"Yuma County, AZ",4027,2014,2014,3062,203247,15.07,26.55,38.77
,"Yuma County, AZ",4027,2015,2015,3017,204275,14.77,26.69,38.7
,"Yuma County, AZ",4027,2016,2016,3007,205631,14.62,26.76,38.67
,"Yuma County, AZ",4027,2017,2017,2960,207534,14.26,27.01,38.75
Total,"Yuma County, AZ",4027,,,15187,1021888,14.86,26.61,38.74
,"Unidentified Counties, AZ",4999,2013,2013,4900,345932,14.16,26.16,38.64
,"Unidentified Counties, AZ",4999,2014,2014,3273,239176,13.68,26.47,38.68
,"Unidentified Counties, AZ",4999,2015,2015,3232,238441,13.55,26.7,38.68
,"Unidentified Counties, AZ",4999,2016,2016,3188,240182,13.27,26.82,38.64
,"Unidentified Counties, AZ",4999,2017,2017,3002,238841,12.57,27.15,38.55
Total,"Unidentified Counties, AZ",4999,,,17595,1302572,13.51,26.6,38.64
,"Benton County, AR",5007,2013,2013,3238,237297,13.65,27.89,38.64
,"Benton County, AR",5007,2014,2014,3566,242321,14.72,28.04,38.66
,"Benton County, AR",5007,2015,2015,3614,249672,14.47,28.14,38.71
,"Benton County, AR",5007,2016,2016,3622,258291,14.02,28.33,38.69
,"Benton County, AR",5007,2017,2017,3713,266300,13.94,28.19,38.6
Total,"Benton County, AR",5007,,,17753,1253881,14.16,28.13,38.66
,"Faulkner County, AR",5045,2014,2014,1522,120768,12.6,26.84,38.71
,"Faulkner County, AR",5045,2015,2015,1539,121552,12.66,27.1,38.65
,"Faulkner County, AR",5045,2016,2016,1534,122227,12.55,27.2,38.73
,"Faulkner County, AR",5045,2017,2017,1545,123654,12.49,27.48,38.42
Total,"Faulkner County, AR",5045,,,6140,488201,12.58,27.16,38.63
,"Pulaski County, AR",5119,2013,2013,5521,391284,14.11,27.13,38.25
,"Pulaski County, AR",5119,2014,2014,5641,392702,14.36,27.55,39
,"Pulaski County, AR",5119,2015,2015,5571,392664,14.19,27.59,38.42
,"Pulaski County, AR",5119,2016,2016,5348,393250,13.6,27.64,38.57
,"Pulaski County, AR",5119,2017,2017,5259,393956,13.35,27.82,38.8
Total,"Pulaski County, AR",5119,,,27340,1963856,13.92,27.54,38.61
,"Saline County, AR",5125,2014,2014,1364,115719,11.79,27.6,39.46
,"Saline County, AR",5125,2015,2015,1353,117460,11.52,27.79,38.79
,"Saline County, AR",5125,2016,2016,1326,118703,11.17,27.9,38.87
,"Saline County, AR",5125,2017,2017,1275,119323,10.69,28.22,38.87
Total,"Saline County, AR",5125,,,5318,471205,11.29,27.87,39
,"Sebastian County, AR",5131,2013,2013,1627,127342,12.78,26.43,38.65
,"Sebastian County, AR",5131,2014,2014,1740,126776,13.72,26.64,38.59
,"Sebastian County, AR",5131,2015,2015,1738,127780,13.6,26.64,38.58
,"Sebastian County, AR",5131,2016,2016,1721,127793,13.47,26.67,38.58
,"Sebastian County, AR",5131,2017,2017,1828,128107,14.27,26.96,38.43
Total,"Sebastian County, AR",5131,,,8654,637798,13.57,26.68,38.56
,"Washington County, AR",5143,2013,2013,3259,216410,15.06,27.54,38.5
,"Washington County, AR",5143,2014,2014,3081,220792,13.95,27.6,38.56
,"Washington County, AR",5143,2015,2015,3213,225477,14.25,28.03,38.59
,"Washington County, AR",5143,2016,2016,3280,228049,14.38,27.86,38.54
,"Washington County, AR",5143,2017,2017,3199,231996,13.79,27.74,38.66
Total,"Washington County, AR",5143,,,16032,1122724,14.28,27.76,38.57
,"Unidentified Counties, AR",5999,2013,2013,24187,1987040,12.17,25.69,38.56
,"Unidentified Counties, AR",5999,2014,2014,21597,1747291,12.36,25.73,38.6
,"Unidentified Counties, AR",5999,2015,2015,21858,1743599,12.54,25.84,38.5
,"Unidentified Counties, AR",5999,2016,2016,21443,1739935,12.32,26.02,38.49
,"Unidentified Counties, AR",5999,2017,2017,20701,1740943,11.89,26.11,38.49
Total,"Unidentified Counties, AR",5999,,,109786,8958808,12.25,25.87,38.53
,"Alameda County, CA",6001,2013,2013,19257,1578891,12.2,30.59,38.83
,"Alameda County, CA",6001,2014,2014,19650,1610921,12.2,30.74,38.81
,"Alameda County, CA",6001,2015,2015,19434,1638215,11.86,30.95,38.82
,"Alameda County, CA",6001,2016,2016,19573,1647704,11.88,31.17,38.84
,"Alameda County, CA",6001,2017,2017,18888,1663190,11.36,31.47,38.76
Total,"Alameda County, CA",6001,,,96802,8138921,11.89,30.98,38.81
,"Butte County, CA",6007,2013,2013,2415,222090,10.87,27.76,39.01
,"Butte County, CA",6007,2014,2014,2481,224241,11.06,27.81,38.99
,"Butte County, CA",6007,2015,2015,2442,225411,10.83,27.91,38.95
,"Butte County, CA",6007,2016,2016,2490,226864,10.98,28.5,39.03
,"Butte County, CA",6007,2017,2017,2386,229294,10.41,28.79,38.87
Total,"Butte County, CA",6007,,,12214,1127900,10.83,28.15,38.97
,"Contra Costa County, CA",6013,2013,2013,12154,1094205,11.11,30.18,38.85
,"Contra Costa County, CA",6013,2014,2014,12557,1111339,11.3,30.37,38.8
,"Contra Costa County, CA",6013,2015,2015,12596,1126745,11.18,30.55,38.79
,"Contra Costa County, CA",6013,2016,2016,12340,1135127,10.87,30.68,38.82
,"Contra Costa County, CA",6013,2017,2017,12180,1147439,10.61,30.87,38.76
Total,"Contra Costa County, CA",6013,,,61827,5614855,11.01,30.53,38.8
,"El Dorado County, CA",6017,2013,2013,1534,181737,8.44,29.52,39.03
,"El Dorado County, CA",6017,2014,2014,1618,183087,8.84,29.52,38.95
,"El Dorado County, CA",6017,2015,2015,1594,184452,8.64,29.78,38.94
,"El Dorado County, CA",6017,2016,2016,1601,185625,8.62,30.09,38.91
,"El Dorado County, CA",6017,2017,2017,1570,188987,8.31,30.05,38.94
Total,"El Dorado County, CA",6017,,,7917,923888,8.57,29.79,38.95
,"Fresno County, CA",6019,2013,2013,15737,955272,16.47,27.36,38.54
,"Fresno County, CA",6019,2014,2014,15762,965974,16.32,27.5,38.53
,"Fresno County, CA",6019,2015,2015,15359,974861,15.76,27.88,38.5
,"Fresno County, CA",6019,2016,2016,15129,979915,15.44,27.95,38.55
,"Fresno County, CA",6019,2017,2017,14541,989255,14.7,28.25,38.58
Total,"Fresno County, CA",6019,,,76528,4865277,15.73,27.78,38.54
,"Humboldt County, CA",6023,2013,2013,1531,134493,11.38,28.16,39.18
,"Humboldt County, CA",6023,2014,2014,1468,134809,10.89,28.57,39.05
,"Humboldt County, CA",6023,2015,2015,1441,135727,10.62,29.03,39.07
,"Humboldt County, CA",6023,2016,2016,1482,136646,10.85,29.03,39.09
,"Humboldt County, CA",6023,2017,2017,1372,136754,10.03,29.16,39.11
Total,"Humboldt County, CA",6023,,,7294,678429,10.75,28.78,39.1
,"Imperial County, CA",6025,2013,2013,3094,176584,17.52,26.76,39.06
,"Imperial County, CA",6025,2014,2014,3226,179091,18.01,27.12,39.07
,"Imperial County, CA",6025,2015,2015,3168,180191,17.58,27.32,38.95
,"Imperial County, CA",6025,2016,2016,2939,180883,16.25,27.62,38.99
,"Imperial County, CA",6025,2017,2017,2894,182830,15.83,27.73,39.04
Total,"Imperial County, CA",6025,,,15321,899579,17.03,27.3,39.02
,"Kern County, CA",6029,2013,2013,14149,864124,16.37,26.72,38.7
,"Kern County, CA",6029,2014,2014,14193,874589,16.23,26.93,38.7
,"Kern County, CA",6029,2015,2015,13768,882176,15.61,27.21,38.68
,"Kern County, CA",6029,2016,2016,13728,884788,15.52,27.5,38.67
,"Kern County, CA",6029,2017,2017,13326,893119,14.92,27.57,38.65
Total,"Kern County, CA",6029,,,69164,4398796,15.72,27.18,38.68
,"Kings County, CA",6031,2013,2013,2394,150960,15.86,26.72,38.87
,"Kings County, CA",6031,2014,2014,2350,150269,15.64,26.99,38.77
,"Kings County, CA",6031,2015,2015,2274,150965,15.06,27.26,38.75
,"Kings County, CA",6031,2016,2016,2248,149785,15.01,27.11,38.7
,"Kings County, CA",6031,2017,2017,2373,150101,15.81,27.57,38.73
Total,"Kings County, CA",6031,,,11639,752080,15.48,27.13,38.77
,"Los Angeles County, CA",6037,2013,2013,128598,10017068,12.84,29.29,38.66
,"Los Angeles County, CA",6037,2014,2014,130289,10116705,12.88,29.56,38.66
,"Los Angeles County, CA",6037,2015,2015,124641,10170292,12.26,29.74,38.64
,"Los Angeles County, CA",6037,2016,2016,123092,10137915,12.14,29.9,38.66
,"Los Angeles County, CA",6037,2017,2017,116950,10163507,11.51,30.11,38.64
Total,"Los Angeles County, CA",6037,,,623570,50605487,12.32,29.71,38.65
,"Madera County, CA",6039,2013,2013,2315,152389,15.19,27.09,38.77
,"Madera County, CA",6039,2014,2014,2313,154548,14.97,27.31,38.74
,"Madera County, CA",6039,2015,2015,2225,154998,14.36,27.69,38.73
,"Madera County, CA",6039,2016,2016,2355,154697,15.22,27.65,38.67
,"Madera County, CA",6039,2017,2017,2120,156890,13.51,27.98,38.8
Total,"Madera County, CA",6039,,,11328,773522,14.64,27.54,38.74
,"Marin County, CA",6041,2013,2013,2321,258365,8.98,32.94,38.86
,"Marin County, CA",6041,2014,2014,2401,260750,9.21,32.74,38.94
,"Marin County, CA",6041,2015,2015,2288,261221,8.76,32.7,39
,"Marin County, CA",6041,2016,2016,2252,260651,8.64,33.05,38.97
,"Marin County, CA",6041,2017,2017,2237,260955,8.57,33.09,39
Total,"Marin County, CA",6041,,,11499,1301942,8.83,32.9,38.95
,"Merced County, CA",6047,2013,2013,4162,263228,15.81,27.29,38.73
,"Merced County, CA",6047,2014,2014,4164,266353,15.63,27.31,38.8
,"Merced County, CA",6047,2015,2015,4104,268455,15.29,27.65,38.8
,"Merced County, CA",6047,2016,2016,4117,268672,15.32,27.61,38.76
,"Merced County, CA",6047,2017,2017,4202,272673,15.41,27.94,38.64
Total,"Merced County, CA",6047,,,20749,1339381,15.49,27.56,38.75
,"Monterey County, CA",6053,2013,2013,6547,428826,15.27,27.95,38.92
,"Monterey County, CA",6053,2014,2014,6455,431344,14.96,28.24,38.84
,"Monterey County, CA",6053,2015,2015,6420,433898,14.8,28.34,38.81
,"Monterey County, CA",6053,2016,2016,6219,435232,14.29,28.66,38.81
,"Monterey County, CA",6053,2017,2017,5810,437907,13.27,28.66,38.81
Total,"Monterey County, CA",6053,,,31451,2167207,14.51,28.36,38.84
,"Napa County, CA",6055,2013,2013,1450,140326,10.33,29.7,38.89
,"Napa County, CA",6055,2014,2014,1475,141667,10.41,29.71,38.93
,"Napa County, CA",6055,2015,2015,1457,142456,10.23,29.82,38.95
,"Napa County, CA",6055,2016,2016,1406,142166,9.89,30.46,38.9
,"Napa County, CA",6055,2017,2017,1291,140973,9.16,30.51,38.87
Total,"Napa County, CA",6055,,,7079,707588,10,30.03,38.91
,"Orange County, CA",6059,2013,2013,37281,3114363,11.97,30,38.71
,"Orange County, CA",6059,2014,2014,38595,3145515,12.27,30.26,38.74
,"Orange County, CA",6059,2015,2015,37609,3169776,11.86,30.4,38.73
,"Orange County, CA",6059,2016,2016,38106,3172532,12.01,30.67,38.71
,"Orange County, CA",6059,2017,2017,37369,3190400,11.71,30.8,38.73
Total,"Orange County, CA",6059,,,188960,15792586,11.97,30.42,38.73
,"Placer County, CA",6061,2013,2013,3688,367309,10.04,30.06,38.95
,"Placer County, CA",6061,2014,2014,3631,371694,9.77,30.48,38.92
,"Placer County, CA",6061,2015,2015,3747,375391,9.98,30.48,38.81
,"Placer County, CA",6061,2016,2016,3732,380531,9.81,30.43,38.9
,"Placer County, CA",6061,2017,2017,3689,386166,9.55,30.77,38.85
Total,"Placer County, CA",6061,,,18487,1881091,9.83,30.44,38.89
,"Riverside County, CA",6065,2013,2013,29941,2292507,13.06,27.98,38.72
,"Riverside County, CA",6065,2014,2014,30235,2329271,12.98,28.28,38.68
,"Riverside County, CA",6065,2015,2015,30491,2361026,12.91,28.35,38.69
,"Riverside County, CA",6065,2016,2016,30661,2387741,12.84,28.59,38.66
,"Riverside County, CA",6065,2017,2017,29857,2423266,12.32,28.85,38.65
Total,"Riverside County, CA",6065,,,151185,11793811,12.82,28.41,38.68
,"Sacramento County, CA",6067,2013,2013,19371,1462131,13.25,28.53,38.85
,"Sacramento County, CA",6067,2014,2014,19871,1482026,13.41,28.84,38.8
,"Sacramento County, CA",6067,2015,2015,19423,1501335,12.94,28.96,38.8
,"Sacramento County, CA",6067,2016,2016,19588,1514460,12.93,29.22,38.79
,"Sacramento County, CA",6067,2017,2017,19202,1530615,12.55,29.39,38.76
Total,"Sacramento County, CA",6067,,,97455,7490567,13.01,28.99,38.8
,"San Bernardino County, CA",6071,2013,2013,30246,2088371,14.48,27.57,38.62
,"San Bernardino County, CA",6071,2014,2014,31226,2112619,14.78,27.78,38.6
,"San Bernardino County, CA",6071,2015,2015,30530,2128133,14.35,27.99,38.56
,"San Bernardino County, CA",6071,2016,2016,31032,2140096,14.5,28.25,38.55
,"San Bernardino County, CA",6071,2017,2017,29643,2157404,13.74,28.5,38.53
Total,"San Bernardino County, CA",6071,,,152677,10626623,14.37,28.02,38.57
,"San Diego County, CA",6073,2013,2013,43659,3211252,13.6,29.15,38.8
,"San Diego County, CA",6073,2014,2014,44596,3263431,13.67,29.32,38.77
,"San Diego County, CA",6073,2015,2015,43942,3299521,13.32,29.55,38.76
,"San Diego County, CA",6073,2016,2016,42720,3317749,12.88,29.79,38.76
,"San Diego County, CA",6073,2017,2017,41230,3337685,12.35,29.99,38.74
Total,"San Diego County, CA",6073,,,216147,16429638,13.16,29.55,38.76
,"San Francisco County, CA",6075,2013,2013,8814,837442,10.52,32.66,38.83
,"San Francisco County, CA",6075,2014,2014,9104,852469,10.68,32.66,38.88
,"San Francisco County, CA",6075,2015,2015,8972,864816,10.37,32.83,38.88
,"San Francisco County, CA",6075,2016,2016,9062,870887,10.41,32.97,38.84
,"San Francisco County, CA",6075,2017,2017,8947,884363,10.12,32.96,38.84
Total,"San Francisco County, CA",6075,,,44899,4309977,10.42,32.82,38.86
,"San Joaquin County, CA",6077,2013,2013,9800,704379,13.91,27.87,38.64
,"San Joaquin County, CA",6077,2014,2014,10113,715597,14.13,28.06,38.67
,"San Joaquin County, CA",6077,2015,2015,9983,726106,13.75,28.26,38.69
,"San Joaquin County, CA",6077,2016,2016,10268,733709,13.99,28.49,38.71
,"San Joaquin County, CA",6077,2017,2017,9928,745424,13.32,28.62,38.61
Total,"San Joaquin County, CA",6077,,,50092,3625215,13.82,28.26,38.67
,"San Luis Obispo County, CA",6079,2013,2013,2650,276443,9.59,29.12,38.97
,"San Luis Obispo County, CA",6079,2014,2014,2596,279083,9.3,29.3,38.97
,"San Luis Obispo County, CA",6079,2015,2015,2668,281401,9.48,29.4,38.99
,"San Luis Obispo County, CA",6079,2016,2016,2581,282887,9.12,29.58,38.87
,"San Luis Obispo County, CA",6079,2017,2017,2550,283405,9,30.13,38.9
Total,"San Luis Obispo County, CA",6079,,,13045,1403219,9.3,29.5,38.94
,"San Mateo County, CA",6081,2013,2013,8824,747373,11.81,31.46,38.81
,"San Mateo County, CA",6081,2014,2014,9083,758581,11.97,31.69,38.76
,"San Mateo County, CA",6081,2015,2015,9037,765135,11.81,31.79,38.76
,"San Mateo County, CA",6081,2016,2016,8960,764797,11.72,32.04,38.76
,"San Mateo County, CA",6081,2017,2017,8585,771410,11.13,32.3,38.75
Total,"San Mateo County, CA",6081,,,44489,3807296,11.69,31.85,38.77
,"Santa Barbara County, CA",6083,2013,2013,5755,435697,13.21,28.21,38.79
,"Santa Barbara County, CA",6083,2014,2014,5830,440668,13.23,28.54,38.76
,"Santa Barbara County, CA",6083,2015,2015,5673,444769,12.75,28.75,38.73
,"Santa Barbara County, CA",6083,2016,2016,5501,446170,12.33,28.94,38.66
,"Santa Barbara County, CA",6083,2017,2017,5531,448150,12.34,28.94,38.66
Total,"Santa Barbara County, CA",6083,,,28290,2215454,12.77,28.67,38.72
,"Santa Clara County, CA",6085,2013,2013,23313,1862041,12.52,30.81,38.75
,"Santa Clara County, CA",6085,2014,2014,23742,1894605,12.53,31.01,38.75
,"Santa Clara County, CA",6085,2015,2015,23393,1918044,12.2,31.17,38.72
,"Santa Clara County, CA",6085,2016,2016,23042,1919402,12,31.31,38.74
,"Santa Clara County, CA",6085,2017,2017,22133,1938153,11.42,31.53,38.72
Total,"Santa Clara County, CA",6085,,,115623,9532245,12.13,31.16,38.74
,"Santa Cruz County, CA",6087,2013,2013,2871,269419,10.66,29.61,39.04
,"Santa Cruz County, CA",6087,2014,2014,3069,271804,11.29,29.75,39.03
,"Santa Cruz County, CA",6087,2015,2015,2840,274146,10.36,29.98,38.94
,"Santa Cruz County, CA",6087,2016,2016,2799,274673,10.19,30.24,38.97
,"Santa Cruz County, CA",6087,2017,2017,2658,275897,9.63,30.47,38.95
Total,"Santa Cruz County, CA",6087,,,14237,1365939,10.42,30,38.99
,"Shasta County, CA",6089,2013,2013,2143,178980,11.97,27.34,39.01
,"Shasta County, CA",6089,2014,2014,2083,179804,11.58,27.62,38.97
,"Shasta County, CA",6089,2015,2015,2073,179533,11.55,27.63,38.83
,"Shasta County, CA",6089,2016,2016,2048,179631,11.4,28.03,38.76
