ID,State,State Code,Year,Year Code,Month,Month Code,Births,Average Age of Mother,Average LMP Gestational Age
729,Idaho,16,2013,2013,September,9,1869,27.62,38.79
730,Idaho,16,2013,2013,October,10,1907,27.65,38.68
731,Idaho,16,2013,2013,November,11,1717,27.41,38.76
732,Idaho,16,2013,2013,December,12,1763,27.45,38.74
733,Idaho,16,2014,2014,January,1,1882,27.47,38.74
734,Idaho,16,2014,2014,February,2,1646,27.42,38.72
735,Idaho,16,2014,2014,March,3,1876,27.55,38.81
736,Idaho,16,2014,2014,April,4,1909,27.65,38.84
737,Idaho,16,2014,2014,May,5,1968,27.6,38.8
738,Idaho,16,2014,2014,June,6,1873,27.5,38.71
739,Idaho,16,2014,2014,July,7,2055,27.56,38.84
740,Idaho,16,2014,2014,August,8,2058,27.6,38.86
741,Idaho,16,2014,2014,September,9,2004,27.63,38.77
742,Idaho,16,2014,2014,October,10,1934,27.75,38.77
743,Idaho,16,2014,2014,November,11,1756,27.59,38.76
744,Idaho,16,2014,2014,December,12,1915,27.74,38.74
745,Idaho,16,2015,2015,January,1,1768,27.62,38.73
746,Idaho,16,2015,2015,February,2,1708,27.75,38.74
747,Idaho,16,2015,2015,March,3,1982,27.67,38.69
748,Idaho,16,2015,2015,April,4,1903,27.59,38.86
749,Idaho,16,2015,2015,May,5,1957,27.78,38.81
750,Idaho,16,2015,2015,June,6,2002,27.8,38.78
751,Idaho,16,2015,2015,July,7,2048,27.76,38.77
752,Idaho,16,2015,2015,August,8,2049,27.82,38.74
753,Idaho,16,2015,2015,September,9,1943,27.86,38.83
754,Idaho,16,2015,2015,October,10,1897,27.7,38.69
755,Idaho,16,2015,2015,November,11,1735,27.9,38.63
756,Idaho,16,2015,2015,December,12,1835,28.12,38.7
757,Idaho,16,2016,2016,January,1,1726,28.06,38.52
758,Idaho,16,2016,2016,February,2,1706,27.74,38.64
759,Idaho,16,2016,2016,March,3,1990,27.74,38.72
760,Idaho,16,2016,2016,April,4,1841,27.98,38.76
761,Idaho,16,2016,2016,May,5,1885,27.9,38.7
762,Idaho,16,2016,2016,June,6,1944,27.83,38.91
763,Idaho,16,2016,2016,July,7,1890,28.03,38.75
764,Idaho,16,2016,2016,August,8,2016,27.79,38.68
765,Idaho,16,2016,2016,September,9,2073,28,38.74
766,Idaho,16,2016,2016,October,10,1893,27.87,38.75
767,Idaho,16,2016,2016,November,11,1731,27.96,38.75
768,Idaho,16,2016,2016,December,12,1787,27.92,38.71
769,Idaho,16,2017,2017,January,1,1774,27.7,38.76
770,Idaho,16,2017,2017,February,2,1692,27.96,38.78
771,Idaho,16,2017,2017,March,3,1928,28.01,38.68
772,Idaho,16,2017,2017,April,4,1751,27.97,38.78
773,Idaho,16,2017,2017,May,5,1963,27.92,38.71
774,Idaho,16,2017,2017,June,6,1976,27.95,38.73
775,Idaho,16,2017,2017,July,7,1946,27.78,38.86
776,Idaho,16,2017,2017,August,8,1977,27.98,38.72
777,Idaho,16,2017,2017,September,9,1886,27.97,38.89
778,Idaho,16,2017,2017,October,10,1902,28.35,38.77
779,Idaho,16,2017,2017,November,11,1639,28.17,38.68
780,Idaho,16,2017,2017,December,12,1747,27.91,38.67
781,Illinois,17,2013,2013,January,1,12557,28.41,38.55
782,Illinois,17,2013,2013,February,2,11533,28.49,38.57
783,Illinois,17,2013,2013,March,3,12957,28.59,38.6
784,Illinois,17,2013,2013,April,4,12455,28.73,38.6
785,Illinois,17,2013,2013,May,5,13547,28.72,38.63
786,Illinois,17,2013,2013,June,6,13081,28.65,38.62
787,Illinois,17,2013,2013,July,7,14318,28.65,38.65
788,Illinois,17,2013,2013,August,8,14048,28.75,38.65
789,Illinois,17,2013,2013,September,9,13409,28.64,38.71
790,Illinois,17,2013,2013,October,10,13237,28.77,38.69
791,Illinois,17,2013,2013,November,11,12575,28.68,38.64
792,Illinois,17,2013,2013,December,12,13214,28.65,38.63
793,Illinois,17,2014,2014,January,1,12772,28.64,38.61
794,Illinois,17,2014,2014,February,2,11707,28.67,38.6
795,Illinois,17,2014,2014,March,3,12755,28.81,38.61
796,Illinois,17,2014,2014,April,4,12902,28.81,38.6
797,Illinois,17,2014,2014,May,5,13475,28.93,38.6
798,Illinois,17,2014,2014,June,6,13098,28.83,38.58
799,Illinois,17,2014,2014,July,7,14382,28.84,38.63
800,Illinois,17,2014,2014,August,8,14311,28.79,38.72
801,Illinois,17,2014,2014,September,9,13757,28.81,38.66
802,Illinois,17,2014,2014,October,10,13505,28.87,38.6
803,Illinois,17,2014,2014,November,11,12613,28.85,38.62
804,Illinois,17,2014,2014,December,12,13279,28.75,38.61
805,Illinois,17,2015,2015,January,1,12728,28.77,38.59
806,Illinois,17,2015,2015,February,2,11940,28.85,38.64
807,Illinois,17,2015,2015,March,3,13079,28.87,38.56
808,Illinois,17,2015,2015,April,4,13175,28.92,38.59
809,Illinois,17,2015,2015,May,5,13069,28.91,38.59
810,Illinois,17,2015,2015,June,6,13421,29.02,38.62
811,Illinois,17,2015,2015,July,7,14371,28.98,38.6
812,Illinois,17,2015,2015,August,8,14103,29,38.71
813,Illinois,17,2015,2015,September,9,13526,29.01,38.68
814,Illinois,17,2015,2015,October,10,13245,29.02,38.56
815,Illinois,17,2015,2015,November,11,12406,28.91,38.6
816,Illinois,17,2015,2015,December,12,13053,28.86,38.56
817,Illinois,17,2016,2016,January,1,12245,28.87,38.55
818,Illinois,17,2016,2016,February,2,11920,29.02,38.56
819,Illinois,17,2016,2016,March,3,12834,29.01,38.56
820,Illinois,17,2016,2016,April,4,12627,29.26,38.64
821,Illinois,17,2016,2016,May,5,13190,29.21,38.61
822,Illinois,17,2016,2016,June,6,13230,29.25,38.6
823,Illinois,17,2016,2016,July,7,13953,29.29,38.56
824,Illinois,17,2016,2016,August,8,14068,29.19,38.66
825,Illinois,17,2016,2016,September,9,13234,29.15,38.6
826,Illinois,17,2016,2016,October,10,12675,29.23,38.55
827,Illinois,17,2016,2016,November,11,12085,29.19,38.59
828,Illinois,17,2016,2016,December,12,12384,29.1,38.5
829,Illinois,17,2017,2017,January,1,12009,29.06,38.52
830,Illinois,17,2017,2017,February,2,11190,29.2,38.53
831,Illinois,17,2017,2017,March,3,12359,29.18,38.55
832,Illinois,17,2017,2017,April,4,11878,29.39,38.61
833,Illinois,17,2017,2017,May,5,12854,29.34,38.58
834,Illinois,17,2017,2017,June,6,12677,29.38,38.56
835,Illinois,17,2017,2017,July,7,13171,29.27,38.55
836,Illinois,17,2017,2017,August,8,13663,29.3,38.63
837,Illinois,17,2017,2017,September,9,12851,29.26,38.63
838,Illinois,17,2017,2017,October,10,12747,29.39,38.61
839,Illinois,17,2017,2017,November,11,12015,29.33,38.57
840,Illinois,17,2017,2017,December,12,11976,29.18,38.52
841,Indiana,18,2013,2013,January,1,6726,27.08,38.66
842,Indiana,18,2013,2013,February,2,6202,27.08,38.63
843,Indiana,18,2013,2013,March,3,6743,27.31,38.62
844,Indiana,18,2013,2013,April,4,6561,27.27,38.67
845,Indiana,18,2013,2013,May,5,7202,27.22,38.6
846,Indiana,18,2013,2013,June,6,6952,27.22,38.55
847,Indiana,18,2013,2013,July,7,7449,27.18,38.64
848,Indiana,18,2013,2013,August,8,7458,27.18,38.69
849,Indiana,18,2013,2013,September,9,7011,27.15,38.7
850,Indiana,18,2013,2013,October,10,7236,27.29,38.65
851,Indiana,18,2013,2013,November,11,6677,27.27,38.6
852,Indiana,18,2013,2013,December,12,6885,27.17,38.62
853,Indiana,18,2014,2014,January,1,6960,27.33,38.65
854,Indiana,18,2014,2014,February,2,6242,27.29,38.58
855,Indiana,18,2014,2014,March,3,6849,27.28,38.68
856,Indiana,18,2014,2014,April,4,6764,27.32,38.69
857,Indiana,18,2014,2014,May,5,7137,27.46,38.58
858,Indiana,18,2014,2014,June,6,6887,27.36,38.59
859,Indiana,18,2014,2014,July,7,7451,27.49,38.65
860,Indiana,18,2014,2014,August,8,7477,27.49,38.68
861,Indiana,18,2014,2014,September,9,7347,27.42,38.7
862,Indiana,18,2014,2014,October,10,7107,27.47,38.62
863,Indiana,18,2014,2014,November,11,6638,27.36,38.6
864,Indiana,18,2014,2014,December,12,7221,27.38,38.66
865,Indiana,18,2015,2015,January,1,6849,27.17,38.66
866,Indiana,18,2015,2015,February,2,6340,27.21,38.62
867,Indiana,18,2015,2015,March,3,7026,27.48,38.6
868,Indiana,18,2015,2015,April,4,6811,27.54,38.63
869,Indiana,18,2015,2015,May,5,6996,27.35,38.6
870,Indiana,18,2015,2015,June,6,6941,27.59,38.61
871,Indiana,18,2015,2015,July,7,7532,27.54,38.61
872,Indiana,18,2015,2015,August,8,7365,27.58,38.61
873,Indiana,18,2015,2015,September,9,7351,27.59,38.61
874,Indiana,18,2015,2015,October,10,7046,27.71,38.68
875,Indiana,18,2015,2015,November,11,6654,27.57,38.64
876,Indiana,18,2015,2015,December,12,7129,27.65,38.55
877,Indiana,18,2016,2016,January,1,6504,27.65,38.6
878,Indiana,18,2016,2016,February,2,6409,27.66,38.63
879,Indiana,18,2016,2016,March,3,6921,27.66,38.61
880,Indiana,18,2016,2016,April,4,6624,27.73,38.59
881,Indiana,18,2016,2016,May,5,6887,27.78,38.64
882,Indiana,18,2016,2016,June,6,7132,27.66,38.63
883,Indiana,18,2016,2016,July,7,7250,27.76,38.63
884,Indiana,18,2016,2016,August,8,7562,27.63,38.66
885,Indiana,18,2016,2016,September,9,7204,27.87,38.66
886,Indiana,18,2016,2016,October,10,6937,27.7,38.61
887,Indiana,18,2016,2016,November,11,6752,27.89,38.57
888,Indiana,18,2016,2016,December,12,6909,27.79,38.5
889,Indiana,18,2017,2017,January,1,6605,27.61,38.57
890,Indiana,18,2017,2017,February,2,6099,27.71,38.6
891,Indiana,18,2017,2017,March,3,6902,27.73,38.57
892,Indiana,18,2017,2017,April,4,6471,27.77,38.62
893,Indiana,18,2017,2017,May,5,6684,27.94,38.55
894,Indiana,18,2017,2017,June,6,6864,27.77,38.5
895,Indiana,18,2017,2017,July,7,7305,27.85,38.56
896,Indiana,18,2017,2017,August,8,7494,27.84,38.62
897,Indiana,18,2017,2017,September,9,7264,27.77,38.58
898,Indiana,18,2017,2017,October,10,7003,27.86,38.59
899,Indiana,18,2017,2017,November,11,6797,27.98,38.49
900,Indiana,18,2017,2017,December,12,6682,27.81,38.54
901,Iowa,19,2013,2013,January,1,3117,27.58,38.66
902,Iowa,19,2013,2013,February,2,2873,27.54,38.71
903,Iowa,19,2013,2013,March,3,3207,27.76,38.68
904,Iowa,19,2013,2013,April,4,3186,27.87,38.74
905,Iowa,19,2013,2013,May,5,3333,27.84,38.77
906,Iowa,19,2013,2013,June,6,3227,27.91,38.75
907,Iowa,19,2013,2013,July,7,3515,27.7,38.71
908,Iowa,19,2013,2013,August,8,3525,27.86,38.7
909,Iowa,19,2013,2013,September,9,3315,27.72,38.71
910,Iowa,19,2013,2013,October,10,3470,27.78,38.75
911,Iowa,19,2013,2013,November,11,3041,28.1,38.69
912,Iowa,19,2013,2013,December,12,3285,27.92,38.59
913,Iowa,19,2014,2014,January,1,3275,28.02,38.67
914,Iowa,19,2014,2014,February,2,2874,27.82,38.69
915,Iowa,19,2014,2014,March,3,3222,27.86,38.68
916,Iowa,19,2014,2014,April,4,3279,28.03,38.66
917,Iowa,19,2014,2014,May,5,3374,28.05,38.64
918,Iowa,19,2014,2014,June,6,3314,28,38.66
919,Iowa,19,2014,2014,July,7,3607,28,38.68
920,Iowa,19,2014,2014,August,8,3619,27.92,38.66
921,Iowa,19,2014,2014,September,9,3357,28.18,38.74
922,Iowa,19,2014,2014,October,10,3356,27.94,38.71
923,Iowa,19,2014,2014,November,11,3111,27.89,38.73
924,Iowa,19,2014,2014,December,12,3299,27.98,38.63
925,Iowa,19,2015,2015,January,1,3215,28.16,38.64
926,Iowa,19,2015,2015,February,2,2830,28.05,38.65
927,Iowa,19,2015,2015,March,3,3326,28.15,38.67
928,Iowa,19,2015,2015,April,4,3296,28.03,38.67
929,Iowa,19,2015,2015,May,5,3312,28.21,38.63
930,Iowa,19,2015,2015,June,6,3392,28.24,38.72
931,Iowa,19,2015,2015,July,7,3542,28.21,38.75
932,Iowa,19,2015,2015,August,8,3473,28.15,38.81
933,Iowa,19,2015,2015,September,9,3360,28.07,38.81
934,Iowa,19,2015,2015,October,10,3442,28.36,38.8
935,Iowa,19,2015,2015,November,11,3062,28.04,38.72
936,Iowa,19,2015,2015,December,12,3232,28.39,38.73
937,Iowa,19,2016,2016,January,1,3088,28.24,38.97
938,Iowa,19,2016,2016,February,2,2957,28.13,38.96
939,Iowa,19,2016,2016,March,3,3343,28.21,38.88
940,Iowa,19,2016,2016,April,4,3250,28.32,38.92
941,Iowa,19,2016,2016,May,5,3375,28.3,38.97
942,Iowa,19,2016,2016,June,6,3330,28.22,38.9
943,Iowa,19,2016,2016,July,7,3405,28.2,38.8
944,Iowa,19,2016,2016,August,8,3544,28.38,38.79
945,Iowa,19,2016,2016,September,9,3442,28.26,38.77
946,Iowa,19,2016,2016,October,10,3236,28.46,38.71
947,Iowa,19,2016,2016,November,11,3197,28.33,38.8
948,Iowa,19,2016,2016,December,12,3236,28.39,38.68
949,Iowa,19,2017,2017,January,1,3055,28.43,38.73
950,Iowa,19,2017,2017,February,2,2909,28.47,38.66
951,Iowa,19,2017,2017,March,3,3237,28.44,38.8
952,Iowa,19,2017,2017,April,4,3058,28.37,38.81
953,Iowa,19,2017,2017,May,5,3270,28.44,38.75
954,Iowa,19,2017,2017,June,6,3239,28.51,38.73
955,Iowa,19,2017,2017,July,7,3391,28.38,38.64
956,Iowa,19,2017,2017,August,8,3593,28.51,38.71
957,Iowa,19,2017,2017,September,9,3342,28.52,38.77
958,Iowa,19,2017,2017,October,10,3142,28.67,38.78
959,Iowa,19,2017,2017,November,11,3082,28.4,38.78
960,Iowa,19,2017,2017,December,12,3112,28.47,38.64
961,Kansas,20,2013,2013,January,1,3202,27.32,38.6
962,Kansas,20,2013,2013,February,2,2859,27.41,38.71
963,Kansas,20,2013,2013,March,3,3179,27.56,38.64
964,Kansas,20,2013,2013,April,4,3035,27.61,38.6
965,Kansas,20,2013,2013,May,5,3264,27.64,38.6
966,Kansas,20,2013,2013,June,6,3176,27.48,38.54
967,Kansas,20,2013,2013,July,7,3430,27.59,38.66
968,Kansas,20,2013,2013,August,8,3410,27.47,38.63
969,Kansas,20,2013,2013,September,9,3389,27.44,38.57
970,Kansas,20,2013,2013,October,10,3400,27.56,38.68
971,Kansas,20,2013,2013,November,11,3203,27.71,38.65
972,Kansas,20,2013,2013,December,12,3292,27.5,38.66
973,Kansas,20,2014,2014,January,1,3223,27.65,38.71
974,Kansas,20,2014,2014,February,2,2992,27.65,38.66
975,Kansas,20,2014,2014,March,3,3238,27.52,38.48
976,Kansas,20,2014,2014,April,4,3259,27.5,38.6
977,Kansas,20,2014,2014,May,5,3306,27.91,38.61
978,Kansas,20,2014,2014,June,6,3163,27.75,38.56
979,Kansas,20,2014,2014,July,7,3530,27.57,38.6
980,Kansas,20,2014,2014,August,8,3435,27.55,38.64
981,Kansas,20,2014,2014,September,9,3444,27.75,38.61
982,Kansas,20,2014,2014,October,10,3263,27.86,38.61
983,Kansas,20,2014,2014,November,11,3105,27.95,38.48
984,Kansas,20,2014,2014,December,12,3265,27.74,38.47
985,Kansas,20,2015,2015,January,1,3139,27.65,38.49
986,Kansas,20,2015,2015,February,2,2987,27.82,38.52
987,Kansas,20,2015,2015,March,3,3177,27.75,38.58
988,Kansas,20,2015,2015,April,4,3224,27.9,38.47
989,Kansas,20,2015,2015,May,5,3085,27.72,38.55
990,Kansas,20,2015,2015,June,6,3353,27.88,38.54
991,Kansas,20,2015,2015,July,7,3497,27.64,38.66
992,Kansas,20,2015,2015,August,8,3394,27.94,38.63
993,Kansas,20,2015,2015,September,9,3510,27.9,38.53
994,Kansas,20,2015,2015,October,10,3332,27.79,38.44
995,Kansas,20,2015,2015,November,11,3108,27.99,38.56
996,Kansas,20,2015,2015,December,12,3348,27.87,38.51
997,Kansas,20,2016,2016,January,1,3076,27.77,38.5
998,Kansas,20,2016,2016,February,2,2888,28.04,38.6
999,Kansas,20,2016,2016,March,3,3248,28.14,38.53
1000,Kansas,20,2016,2016,April,4,2985,27.94,38.58
1001,Kansas,20,2016,2016,May,5,3079,28.18,38.59
1002,Kansas,20,2016,2016,June,6,3320,28.08,38.53
1003,Kansas,20,2016,2016,July,7,3400,28.15,38.61
1004,Kansas,20,2016,2016,August,8,3365,28.01,38.46
1005,Kansas,20,2016,2016,September,9,3296,28.08,38.57
1006,Kansas,20,2016,2016,October,10,3156,28.14,38.52
1007,Kansas,20,2016,2016,November,11,3145,27.99,38.52
1008,Kansas,20,2016,2016,December,12,3095,28.18,38.46
1009,Kansas,20,2017,2017,January,1,2944,28.15,38.49
1010,Kansas,20,2017,2017,February,2,2664,28.14,38.49
1011,Kansas,20,2017,2017,March,3,3103,28.25,38.49
1012,Kansas,20,2017,2017,April,4,2850,28.06,38.4
1013,Kansas,20,2017,2017,May,5,3134,28.2,38.55
1014,Kansas,20,2017,2017,June,6,3074,28.05,38.41
1015,Kansas,20,2017,2017,July,7,3200,28.18,38.42
1016,Kansas,20,2017,2017,August,8,3463,28.13,38.48
1017,Kansas,20,2017,2017,September,9,3155,28.19,38.5
1018,Kansas,20,2017,2017,October,10,3060,28.35,38.48
1019,Kansas,20,2017,2017,November,11,2950,28.28,38.33
1020,Kansas,20,2017,2017,December,12,2922,27.99,38.41
1021,Kentucky,21,2013,2013,January,1,4624,26.54,38.56
1022,Kentucky,21,2013,2013,February,2,4236,26.6,38.55
1023,Kentucky,21,2013,2013,March,3,4669,26.79,38.54
1024,Kentucky,21,2013,2013,April,4,4337,26.65,38.55
1025,Kentucky,21,2013,2013,May,5,4748,26.87,38.52
1026,Kentucky,21,2013,2013,June,6,4510,26.71,38.56
1027,Kentucky,21,2013,2013,July,7,5062,26.75,38.65
1028,Kentucky,21,2013,2013,August,8,5005,26.61,38.62
1029,Kentucky,21,2013,2013,September,9,4812,26.86,38.65
1030,Kentucky,21,2013,2013,October,10,4787,26.79,38.53
1031,Kentucky,21,2013,2013,November,11,4349,26.77,38.43
1032,Kentucky,21,2013,2013,December,12,4547,27.05,38.57
1033,Kentucky,21,2014,2014,January,1,4685,26.85,38.55
1034,Kentucky,21,2014,2014,February,2,4115,26.94,38.61
1035,Kentucky,21,2014,2014,March,3,4603,26.82,38.57
1036,Kentucky,21,2014,2014,April,4,4545,26.89,38.6
1037,Kentucky,21,2014,2014,May,5,4765,27.12,38.52
1038,Kentucky,21,2014,2014,June,6,4510,26.88,38.56
1039,Kentucky,21,2014,2014,July,7,5138,26.88,38.61
1040,Kentucky,21,2014,2014,August,8,4981,26.92,38.49
1041,Kentucky,21,2014,2014,September,9,4934,26.92,38.62
1042,Kentucky,21,2014,2014,October,10,4715,26.92,38.49
1043,Kentucky,21,2014,2014,November,11,4378,26.88,38.52
1044,Kentucky,21,2014,2014,December,12,4801,26.87,38.57
1045,Kentucky,21,2015,2015,January,1,4571,26.85,38.56
1046,Kentucky,21,2015,2015,February,2,4120,26.96,38.59
1047,Kentucky,21,2015,2015,March,3,4608,27.06,38.57
1048,Kentucky,21,2015,2015,April,4,4506,27.12,38.68
1049,Kentucky,21,2015,2015,May,5,4629,27.19,38.5
1050,Kentucky,21,2015,2015,June,6,4589,26.98,38.56
1051,Kentucky,21,2015,2015,July,7,5063,27.02,38.6
1052,Kentucky,21,2015,2015,August,8,4984,26.94,38.61
1053,Kentucky,21,2015,2015,September,9,4979,27.22,38.62
1054,Kentucky,21,2015,2015,October,10,4726,27.12,38.56
1055,Kentucky,21,2015,2015,November,11,4423,27.08,38.58
1056,Kentucky,21,2015,2015,December,12,4773,27.03,38.56
1057,Kentucky,21,2016,2016,January,1,4382,27.15,38.58
1058,Kentucky,21,2016,2016,February,2,4324,26.98,38.53
1059,Kentucky,21,2016,2016,March,3,4597,27.15,38.52
1060,Kentucky,21,2016,2016,April,4,4441,27.29,38.51
1061,Kentucky,21,2016,2016,May,5,4602,27.35,38.53
1062,Kentucky,21,2016,2016,June,6,4667,27.3,38.51
1063,Kentucky,21,2016,2016,July,7,4827,27.17,38.67
1064,Kentucky,21,2016,2016,August,8,5063,27.27,38.66
1065,Kentucky,21,2016,2016,September,9,4840,27.29,38.51
1066,Kentucky,21,2016,2016,October,10,4696,27.41,38.45
1067,Kentucky,21,2016,2016,November,11,4552,27.2,38.57
1068,Kentucky,21,2016,2016,December,12,4458,27.31,38.63
1069,Kentucky,21,2017,2017,January,1,4317,27.2,38.52
1070,Kentucky,21,2017,2017,February,2,4039,27.33,38.51
1071,Kentucky,21,2017,2017,March,3,4550,27.26,38.53
1072,Kentucky,21,2017,2017,April,4,4200,27.16,38.64
1073,Kentucky,21,2017,2017,May,5,4592,27.37,38.43
1074,Kentucky,21,2017,2017,June,6,4509,27.36,38.5
1075,Kentucky,21,2017,2017,July,7,4807,27.27,38.56
1076,Kentucky,21,2017,2017,August,8,5095,27.3,38.66
1077,Kentucky,21,2017,2017,September,9,4946,27.45,38.59
1078,Kentucky,21,2017,2017,October,10,4729,27.36,38.48
1079,Kentucky,21,2017,2017,November,11,4469,27.44,38.56
1080,Kentucky,21,2017,2017,December,12,4499,27.49,38.51
1081,Louisiana,22,2013,2013,January,1,5326,26.44,38.23
1082,Louisiana,22,2013,2013,February,2,4615,26.48,38.21
1083,Louisiana,22,2013,2013,March,3,4885,26.73,38.2
1084,Louisiana,22,2013,2013,April,4,4826,26.69,38.33
1085,Louisiana,22,2013,2013,May,5,5074,26.65,38.28
1086,Louisiana,22,2013,2013,June,6,4903,26.69,38.22
1087,Louisiana,22,2013,2013,July,7,5620,26.69,38.15
1088,Louisiana,22,2013,2013,August,8,5653,26.57,38.26
1089,Louisiana,22,2013,2013,September,9,5604,26.7,38.34
1090,Louisiana,22,2013,2013,October,10,5583,26.77,38.23
1091,Louisiana,22,2013,2013,November,11,5240,26.76,38.15
1092,Louisiana,22,2013,2013,December,12,5872,26.81,38.21
1093,Louisiana,22,2014,2014,January,1,5459,26.62,38.25
1094,Louisiana,22,2014,2014,February,2,4883,26.84,38.39
1095,Louisiana,22,2014,2014,March,3,5130,26.93,38.23
1096,Louisiana,22,2014,2014,April,4,5054,27,38.4
1097,Louisiana,22,2014,2014,May,5,5086,26.99,38.21
1098,Louisiana,22,2014,2014,June,6,5022,26.95,38.23
1099,Louisiana,22,2014,2014,July,7,5609,26.93,38.22
1100,Louisiana,22,2014,2014,August,8,5548,26.9,38.25
1101,Louisiana,22,2014,2014,September,9,5743,26.77,38.22
1102,Louisiana,22,2014,2014,October,10,5722,26.96,38.31
1103,Louisiana,22,2014,2014,November,11,5277,26.88,38.36
1104,Louisiana,22,2014,2014,December,12,5964,26.92,38.53
1105,Louisiana,22,2015,2015,January,1,5389,26.91,38.45
1106,Louisiana,22,2015,2015,February,2,4818,26.95,38.47
1107,Louisiana,22,2015,2015,March,3,5211,27,38.41
1108,Louisiana,22,2015,2015,April,4,4960,27.15,38.25
1109,Louisiana,22,2015,2015,May,5,5018,27.13,38.17
1110,Louisiana,22,2015,2015,June,6,5133,27.04,38.27
1111,Louisiana,22,2015,2015,July,7,5727,27.02,38.25
1112,Louisiana,22,2015,2015,August,8,5853,27.05,38.36
1113,Louisiana,22,2015,2015,September,9,5881,27.04,38.4
1114,Louisiana,22,2015,2015,October,10,5751,27.13,38.3
1115,Louisiana,22,2015,2015,November,11,5344,27.06,38.15
1116,Louisiana,22,2015,2015,December,12,5607,27.18,38.37
1117,Louisiana,22,2016,2016,January,1,5264,27.15,38.28
1118,Louisiana,22,2016,2016,February,2,4778,27.32,38.15
1119,Louisiana,22,2016,2016,March,3,5244,27.32,38.13
1120,Louisiana,22,2016,2016,April,4,4692,27.31,38.14
1121,Louisiana,22,2016,2016,May,5,4989,27.3,38.11
1122,Louisiana,22,2016,2016,June,6,5326,27.45,38.34
1123,Louisiana,22,2016,2016,July,7,5597,27.17,38.24
1124,Louisiana,22,2016,2016,August,8,5669,27.27,38.24
1125,Louisiana,22,2016,2016,September,9,5615,27.29,38.41
1126,Louisiana,22,2016,2016,October,10,5353,27.45,38.31
1127,Louisiana,22,2016,2016,November,11,5392,27.33,38.13
1128,Louisiana,22,2016,2016,December,12,5259,27.42,38.12
1129,Louisiana,22,2017,2017,January,1,5172,27.31,38.19
1130,Louisiana,22,2017,2017,February,2,4443,27.42,38.19
1131,Louisiana,22,2017,2017,March,3,4925,27.47,38.13
1132,Louisiana,22,2017,2017,April,4,4578,27.47,38.19
1133,Louisiana,22,2017,2017,May,5,4863,27.48,38.13
1134,Louisiana,22,2017,2017,June,6,4976,27.4,38.01
1135,Louisiana,22,2017,2017,July,7,5224,27.36,38.03
1136,Louisiana,22,2017,2017,August,8,5910,27.51,38.07
1137,Louisiana,22,2017,2017,September,9,5451,27.53,38.11
1138,Louisiana,22,2017,2017,October,10,5227,27.49,38.05
1139,Louisiana,22,2017,2017,November,11,5196,27.47,38.08
1140,Louisiana,22,2017,2017,December,12,5053,27.45,38.06
1141,Maine,23,2013,2013,January,1,1059,28.05,39.03
1142,Maine,23,2013,2013,February,2,963,28.34,39.14
1143,Maine,23,2013,2013,March,3,1063,27.92,39.12
1144,Maine,23,2013,2013,April,4,1009,28.35,39.03
1145,Maine,23,2013,2013,May,5,1106,28.22,39.06
1146,Maine,23,2013,2013,June,6,1128,28.25,39.07
1147,Maine,23,2013,2013,July,7,1051,28.39,39.19
1148,Maine,23,2013,2013,August,8,1136,28.04,38.99
1149,Maine,23,2013,2013,September,9,1077,28.27,38.97
1150,Maine,23,2013,2013,October,10,1103,28.24,39.11
1151,Maine,23,2013,2013,November,11,1049,28.11,38.94
1152,Maine,23,2013,2013,December,12,1032,27.93,38.94
1153,Maine,23,2014,2014,January,1,1012,27.92,38.93
1154,Maine,23,2014,2014,February,2,886,28.26,39.04
1155,Maine,23,2014,2014,March,3,1124,28.74,39.03
1156,Maine,23,2014,2014,April,4,1047,28.07,39.05
1157,Maine,23,2014,2014,May,5,1100,28.7,39
1158,Maine,23,2014,2014,June,6,1088,28.73,38.97
1159,Maine,23,2014,2014,July,7,1164,28.41,38.91
1160,Maine,23,2014,2014,August,8,1154,28.69,39.02
1161,Maine,23,2014,2014,September,9,1106,28.18,39.1
1162,Maine,23,2014,2014,October,10,1083,28.38,38.97
1163,Maine,23,2014,2014,November,11,1003,28.02,39.12
1164,Maine,23,2014,2014,December,12,931,28.21,38.97
1165,Maine,23,2015,2015,January,1,1045,28.58,38.96
1166,Maine,23,2015,2015,February,2,979,28.12,39.02
1167,Maine,23,2015,2015,March,3,1011,28.54,39.03
1168,Maine,23,2015,2015,April,4,983,28.09,38.91
1169,Maine,23,2015,2015,May,5,1050,28.54,39.07
1170,Maine,23,2015,2015,June,6,1139,28.59,39.09
1171,Maine,23,2015,2015,July,7,1142,28.64,39.19
1172,Maine,23,2015,2015,August,8,1115,28.34,38.91
1173,Maine,23,2015,2015,September,9,1079,28.44,38.97
1174,Maine,23,2015,2015,October,10,1061,28.38,38.94
1175,Maine,23,2015,2015,November,11,975,28.55,38.91
1176,Maine,23,2015,2015,December,12,1028,28.77,38.88
1177,Maine,23,2016,2016,January,1,955,28.74,39.02
1178,Maine,23,2016,2016,February,2,1009,28.43,38.93
1179,Maine,23,2016,2016,March,3,1068,28.49,38.89
1180,Maine,23,2016,2016,April,4,1071,28.86,38.87
1181,Maine,23,2016,2016,May,5,1117,28.77,39.08
1182,Maine,23,2016,2016,June,6,1080,28.64,38.96
1183,Maine,23,2016,2016,July,7,1190,28.77,39.05
1184,Maine,23,2016,2016,August,8,1167,28.73,38.94
1185,Maine,23,2016,2016,September,9,1135,28.65,38.94
